0,Xelaev18004747m.g,Xelaev18004747m.g,LOC734128
1,Xelaev18004748m.g,Xetrov90028798m.L,LOC734128
2,Xelaev18004749m.g,Xelaev18004749m.g,LOC734128
3,Xelaev18004750m.g,Xelaev18004750m.g,LOC734128
4,Xelaev18004751m.g,Xelaev18004751m.g,LOC734128
5,Xelaev18004752m.g,Xelaev18004752m.g,LOC650405
6,Xelaev18004753m.g,Xelaev18004753m.g,LOC734128
7,Xelaev18004754m.g,Xelaev18004754m.g,LOC734128
8,Xelaev18004755m.g,Xetrov90000197m.L,LOC734128
9,Xelaev18004756m.g,Xelaev18004756m.g,LOC650405
10,Xelaev18004757m.g,Xelaev18004757m.g,LOC650405
11,Xelaev18004758m.g,Xetrov90000134m.L,XB6033599
12,Xelaev18004759m.g,Xelaev18004759m.g,LOC734128
13,Xelaev18004760m.g,Xelaev18004760m.g,Xelaev18004760m.g
14,Xelaev18004761m.g,Xelaev18004761m.g,LOC650405
15,Xelaev18004762m.g,Xelaev18004762m.g,LOC650405
16,Xelaev18004763m.g,Xelaev18004763m.g,LOC650405
17,Xelaev18004764m.g,Xetrov90000149m.L,LOC650405
18,Xelaev18004765m.g,Xelaev18004765m.g,LOC650405
19,Xelaev18004766m.g,Xelaev18004766m.g,LOC650405
20,Xelaev18004767m.g,Xelaev18004767m.g,XB6033599
21,Xelaev18004768m.g,Xetrov90000201m.L,LOC734128
22,Xelaev18004769m.g,Xelaev18004769m.g,LOC650405
23,Xelaev18004770m.g,Xelaev18004770m.g,LOC650405
24,Xelaev18004771m.g,Xelaev18004771m.g,LOC650405
25,Xelaev18004772m.g,Xetrov90000161m.L,LOC100493148
26,Xelaev18004773m.g,Xelaev18004773m.g,LOC734128
27,Xelaev18004774m.g,Xelaev18004774m.g,LOC650405
28,Xelaev18004775m.g,Xelaev18004775m.g,LOC734128
29,Xelaev18004776m.g,Xelaev18004776m.g,Xelaev18004776m.g
30,Xelaev18004777m.g,Xelaev18004777m.g,LOC650405
31,Xelaev18004779m.g,Xelaev18004779m.g,LOC734128
32,Xelaev18004780m.g,Xelaev18004780m.g,LOC650405
33,Xelaev18004781m.g,Xetrov90000141m.L,LOC650405
34,Xelaev18004782m.g,Xetrov90029775m.L,LOC734128
35,Xelaev18004783m.g,Xetrov90000140m.L,LOC650405
36,Xelaev18004784m.g,Xetrov90000136m.L,LOC650405
37,Xelaev18004786m.g,Xetrov90000181m.L,LOC650405
38,Xelaev18004787m.g,Xelaev18004787m.g,XB6033599
39,Xelaev18004788m.g,Xelaev18004788m.g,XB6033599
40,Xelaev18004789m.g,Xelaev18004789m.g,LOC734128
41,Xelaev18004790m.g,Xelaev18004790m.g,LOC734128
42,Xelaev18004791m.g,Xelaev18004791m.g,Xelaev18004791m.g
43,Xelaev18004792m.g,Xelaev18004792m.g,LOC734128
44,Xelaev18004793m.g,Xelaev18004793m.g,Xelaev18004793m.g
45,Xelaev18004794m.g,Xelaev18004794m.g,LOC734128
46,Xelaev18004795m.g,Xelaev18004795m.g,LOC734128
47,Xelaev18004796m.g,Xelaev18004796m.g,LOC734128
48,Xelaev18004797m.g,Xetrov90000165m.L,LOC650405
49,Xelaev18004798m.g,Xelaev18004798m.g,LOC650405
50,Xelaev18004799m.g,Xelaev18004799m.g,LOC650405
51,Xelaev18004800m.g,Xelaev18004800m.g,Xelaev18004800m.g
52,Xelaev18004801m.g,Xelaev18004801m.g,LOC734128
53,Xelaev18004802m.g,Xelaev18004802m.g,LOC734128
54,Xelaev18004805m.g,Xelaev18004805m.g,LOC650405
55,Xelaev18004807m.g,suclg1.L,SUCLG1
56,Xelaev18004808m.g,Xelaev18004808m.g,Xelaev18004808m.g
57,Xelaev18004809m.g,lrrtm1.L,LRRTM1
58,Xelaev18004810m.g,ctnna2.L,CTNNA2
59,Xelaev18004811m.g,adra1d.L,ADRA1D
60,Xelaev18004812m.g,Xelaev18004812m.g,Xelaev18004812m.g
61,Xelaev18004813m.g,loc100496115.L,LOC100496115
62,Xelaev18004814m.g,Xelaev18004814m.g,NPM1
63,Xelaev18004815m.g,smox.L,SMOX
64,Xelaev18004816m.g,rnf24.L,RNF24
65,Xelaev18004817m.g,Xelaev18004817m.g,Xelaev18004817m.g
66,Xelaev18004819m.g,pank2-like.L,PANK2
67,Xelaev18004820m.g,Xelaev18004820m.g,Xelaev18004820m.g
68,Xelaev18004821m.g,Xetrov90000224m.L,MAVS
69,Xelaev18004822m.g,ptpra.L,PTPRA
70,Xelaev18004823m.g,gnrh2.L,GNRH2
71,Xelaev18004824m.g,oxt.L,OXT
72,Xelaev18004825m.g,avp.L,AVP
73,Xelaev18004826m.g,ubox5.L,UBOX5
74,Xelaev18004827m.g,fastkd5.L,FASTKD5
75,Xelaev18004828m.g,Xelaev18004828m.g,Xelaev18004828m.g
76,Xelaev18004829m.g,lzts3.L,LZTS3
77,Xelaev18004830m.g,loc779549.L,LOC779549
78,Xelaev18004831m.g,Xelaev18004831m.g,Xelaev18004831m.g
79,Xelaev18004832m.g,Xelaev18004832m.g,Xelaev18004832m.g
80,Xelaev18004833m.g,Xelaev18004833m.g,Xelaev18004833m.g
81,Xelaev18004834m.g,Xelaev18004834m.g,Xelaev18004834m.g
82,Xelaev18004835m.g,gfra4.L,GFRA2
83,Xelaev18004836m.g,Xelaev18004836m.g,Xelaev18004836m.g
84,Xelaev18004837m.g,atrn.L,ATRN
85,Xelaev18004838m.g,Xelaev18004838m.g,KRTAP16-1
86,Xelaev18004839m.g,Xelaev18004839m.g,Xelaev18004839m.g
87,Xelaev18004840m.g,c20orf194.L,C20ORF194
88,Xelaev18004842m.g,Xelaev18004842m.g,NANOS2
89,Xelaev18004843m.g,Xelaev18004843m.g,NANOS2
90,Xelaev18004844m.g,Xelaev18004844m.g,Xelaev18004844m.g
91,Xelaev18004845m.g,slc4a11.L,SLC4A11
92,Xelaev18004846m.g,htr7.L,HTR7
93,Xelaev18004847m.g,Xelaev18004847m.g,MGC115716
94,Xelaev18004848m.g,Xelaev18004848m.g,MGC145518
95,Xelaev18004849m.g,Xelaev18004849m.g,LOC100037002
96,Xelaev18004852m.g,Xelaev18004852m.g,LOC105946311
97,Xelaev18004853m.g,paip2b.L,PAIP2B
98,Xelaev18004854m.g,siglec1.L,SIGLEC1
99,Xelaev18004855m.g,Xelaev18004855m.g,Xelaev18004855m.g
100,Xelaev18004856m.g,tex261.L,TEX261
101,Xelaev18004857m.g,ankrd53.L,ANKRD53
102,Xelaev18004858m.g,loc100486585.L,SHTN1
103,Xelaev18004859m.g,atp6v1b1.L,ATP6V1B1
104,Xelaev18004860m.g,Xetrov90028427m.L,Xetrov90028427m.L
105,Xelaev18004861m.g,Xelaev18004861m.g,Xelaev18004861m.g
106,Xelaev18004862m.g,Xelaev18004862m.g,Xelaev18004862m.g
107,Xelaev18004863m.g,vax2.L,VAX2-A
108,Xelaev18004864m.g,nagk.L,NAGK
109,Xelaev18004865m.g,Xelaev18004865m.g,EXOC6B
110,Xelaev18004866m.g,Xelaev18004866m.g,EXOC6B
111,Xelaev18004867m.g,Xelaev18004867m.g,Xelaev18004867m.g
112,Xelaev18004868m.g,cyp26b1.L,CYP26B1
113,Xelaev18004869m.g,Xelaev18004869m.g,Xelaev18004869m.g
114,Xelaev18004870m.g,dysf-like.L,DYSF
115,Xelaev18004871m.g,Xelaev18004871m.g,Xelaev18004871m.g
116,Xelaev18004872m.g,znf638.L,ZNF638
117,Xelaev18004873m.g,Xelaev18004873m.g,Xelaev18004873m.g
118,Xelaev18004874m.g,cdc25b.L,CDC25B
119,Xelaev18004875m.g,adamdec1.L,ADAM12
120,Xelaev18004876m.g,spef1.L,SPEF1
121,Xelaev18004877m.g,Xelaev18004877m.g,Xelaev18004877m.g
122,Xelaev18004878m.g,c20orf27.L,C20ORF27
123,Xelaev18004879m.g,hspa12b.L,HSPA12B
124,Xelaev18004880m.g,Xetrov90030062m.L,Xetrov90030062m.L
125,Xelaev18004881m.g,lyrm2.L,LYRM2
126,Xelaev18004882m.g,Xelaev18004882m.g,HEPACAM2
127,Xelaev18004883m.g,loc100489054.L,LOC100489054
128,Xelaev18004884m.g,loc100127651.L,LOC100127651
129,Xelaev18004885m.g,Xelaev18004885m.g,Xelaev18004885m.g
130,Xelaev18004886m.g,Xelaev18004886m.g,EBF4
131,Xelaev18004887m.g,cpxm1.L,CPXM1
132,Xelaev18004888m.g,nat8b-like.L,LOC100124951
133,Xelaev18004889m.g,loc100489204.L,LOC100489204
134,Xelaev18004890m.g,loc100489358.L,LOC100489358
135,Xelaev18004891m.g,nat8.L,LOC100145252
136,Xelaev18004892m.g,loc101731538-like.L,CML
137,Xelaev18004893m.g,Xelaev18004893m.g,LOC105946311
138,Xelaev18004894m.g,dctn1.L,DCTN1
139,Xelaev18004895m.g,adam33.L,ADAM13
140,Xelaev18004896m.g,loc100487404-like.L,FAM113A
141,Xelaev18004897m.g,loc100490023.L,loc100490023.L
142,Xelaev18004898m.g,Xelaev18004898m.g,Xelaev18004898m.g
143,Xelaev18004899m.g,Xelaev18004899m.g,LOC100145764
144,Xelaev18004901m.g,Xelaev18004901m.g,LOC100145764
145,Xelaev18004902m.g,loc100490368.L,LOC100101308
146,Xelaev18004903m.g,smyd5.L,SMYD5
147,Xelaev18004904m.g,glod5.L,GLOD5
148,Xelaev18004905m.g,pradc1.L,LOC431982
149,Xelaev18004907m.g,cct7.L,LOC495278
150,Xelaev18004908m.g,fbxo41.L,FBXO41
151,Xelaev18004909m.g,egr4.L,EGR4
152,Xelaev18004910m.g,alms1.L,ALMS1
153,Xelaev18004911m.g,Xelaev18004911m.g,LOC100137633
154,Xelaev18004912m.g,Xelaev18004912m.g,LOC100137633
155,Xelaev18004913m.g,not.L,NOT2
156,Xelaev18004914m.g,Xelaev18004914m.g,Xelaev18004914m.g
157,Xelaev18004915m.g,Xelaev18004915m.g,Xelaev18004915m.g
158,Xelaev18004916m.g,rab11fip5.L,RAB11FIP5
159,Xelaev18004917m.g,Xelaev18004917m.g,SMYD5
160,Xelaev18004918m.g,sfxn5.L,SFXN5
161,Xelaev18004919m.g,Xelaev18004919m.g,Xelaev18004919m.g
162,Xelaev18004920m.g,Xelaev18004920m.g,Xelaev18004920m.g
163,Xelaev18004921m.g,emx1.2.L,EMX1
164,Xelaev18004922m.g,Xelaev18004922m.g,LOC100497197
165,Xelaev18004924m.g,spr.L,SPR
166,Xelaev18004925m.g,Xelaev18004925m.g,Xelaev18004925m.g
167,Xelaev18004926m.g,Xelaev18004926m.g,Xelaev18004926m.g
168,Xelaev18004927m.g,Xelaev18004927m.g,Xelaev18004927m.g
169,Xelaev18004928m.g,Xelaev18004928m.g,Xelaev18004928m.g
170,Xelaev18004929m.g,Xelaev18004929m.g,Xelaev18004929m.g
171,Xelaev18004930m.g,Xelaev18004930m.g,Xelaev18004930m.g
172,Xelaev18004931m.g,Xelaev18004931m.g,Xelaev18004931m.g
173,Xelaev18004932m.g,Xelaev18004932m.g,LOC105945551
174,Xelaev18004933m.g,loc101731893.L,LOC108644783
175,Xelaev18004934m.g,loc100498444.L,LOC100490505
176,Xelaev18004935m.g,Xelaev18004935m.g,LOC105945551
177,Xelaev18004936m.g,loc100491220.L,LOC105945551
178,Xelaev18004937m.g,Xelaev18004937m.g,Xelaev18004937m.g
179,Xelaev18004938m.g,Xelaev18004938m.g,Xelaev18004938m.g
180,Xelaev18004939m.g,Xetrov90000075m.L,LOC101734131
181,Xelaev18004940m.g,Xelaev18004940m.g,Xelaev18004940m.g
182,Xelaev18004941m.g,Xelaev18004941m.g,Xelaev18004941m.g
183,Xelaev18004942m.g,Xelaev18004942m.g,LOC101734131
184,Xelaev18004943m.g,Xetrov90000036m.L,XV2R1
185,Xelaev18004944m.g,Xelaev18004944m.g,XV2R1
186,Xelaev18004945m.g,Xelaev18004945m.g,XV2R1
187,Xelaev18004946m.g,Xelaev18004946m.g,LOC108644783
188,Xelaev18004947m.g,Xelaev18004947m.g,LOC105945551
189,Xelaev18004948m.g,Xelaev18004948m.g,Xelaev18004948m.g
190,Xelaev18004949m.g,Xelaev18004949m.g,LOC496091
191,Xelaev18004950m.g,Xelaev18004950m.g,LOC105945551
192,Xelaev18004951m.g,Xelaev18004951m.g,LOC100493683
193,Xelaev18004952m.g,Xelaev18004952m.g,LOC101734131
194,Xelaev18004953m.g,Xetrov90030605m.L,LOC100493683
195,Xelaev18004954m.g,Xelaev18004954m.g,LOC105945551
196,Xelaev18004955m.g,Xelaev18004955m.g,LOC101734131
197,Xelaev18004956m.g,Xelaev18004956m.g,LOC105945551
198,Xelaev18004957m.g,Xetrov90030233m.L,LOC101734131
199,Xelaev18004958m.g,loc100491240.L,LOC108644783
200,Xelaev18004959m.g,Xelaev18004959m.g,LOC105945551
201,Xelaev18004960m.g,Xelaev18004960m.g,LOC105945551
202,Xelaev18004961m.g,Xetrov90000012m.L,LOC105945551
203,Xelaev18004962m.g,Xelaev18004962m.g,LOC105945551
204,Xelaev18004963m.g,Xelaev18004963m.g,LOC105945551
